date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:26	127813/127813	---MCZ	200	added ('OK')	text/html	etag:W/%227b169605f4e48f978ff50bffda363802%22	https://beta.nextjs.org/docs/rendering/fundamentals	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/rendering/fundamentals.html	(from https://beta.nextjs.org/docs)
23:25:26	293355/293355	---MCZ	200	added ('OK')	text/html	etag:W/%221f31e17c212f433199fd40fbdf05abe3%22	https://beta.nextjs.org/docs/rendering/server-and-client-components	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/rendering/server-and-client-components.html	(from https://beta.nextjs.org/docs)
23:25:26	122188/122188	---MCZ	200	added ('OK')	text/html	etag:W/%223480ea545cc1d546cefcd0569d8f718f%22	https://beta.nextjs.org/docs/rendering/static-and-dynamic-rendering	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/rendering/static-and-dynamic-rendering.html	(from https://beta.nextjs.org/docs)
23:25:27	130107/130107	---MCZ	200	added ('OK')	text/html	etag:W/%22afb89514932bbea65884ce332c4d9c86%22	https://beta.nextjs.org/docs/rendering/edge-and-nodejs-runtimes	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/rendering/edge-and-nodejs-runtimes.html	(from https://beta.nextjs.org/docs)
23:25:27	149160/149160	---MCZ	200	added ('OK')	text/html	etag:W/%22ba0e5d08f369f1f84aeca18e06e4e34b%22	https://beta.nextjs.org/docs/data-fetching/fundamentals	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/fundamentals.html	(from https://beta.nextjs.org/docs)
23:25:27	216761/216761	---MCZ	200	added ('OK')	text/html	etag:W/%22607112ed4149e09bd2585371242c6a7f%22	https://beta.nextjs.org/docs/data-fetching/fetching	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/fetching.html	(from https://beta.nextjs.org/docs)
23:25:27	171492/171492	---MCZ	200	added ('OK')	text/html	etag:W/%2283870e6cfaf6935fa96ac924aeef5c4e%22	https://beta.nextjs.org/docs/data-fetching/caching	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/caching.html	(from https://beta.nextjs.org/docs)
23:25:27	135501/135501	---MCZ	200	added ('OK')	text/html	etag:W/%22bb04ff0ba335484f7dbd9c3521e193e8%22	https://beta.nextjs.org/docs/data-fetching/revalidating	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/revalidating.html	(from https://beta.nextjs.org/docs)
23:25:28	137533/137533	---MCZ	200	added ('OK')	text/html	etag:W/%22455e8465c884c17f64106caa90288488%22	https://beta.nextjs.org/docs/data-fetching/mutating	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/mutating.html	(from https://beta.nextjs.org/docs)
23:25:28	138797/138797	---MCZ	200	added ('OK')	text/html	etag:W/%228b94274ec4a0f1b08d818ffc8253d952%22	https://beta.nextjs.org/docs/data-fetching/streaming-and-suspense	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/data-fetching/streaming-and-suspense.html	(from https://beta.nextjs.org/docs)
